loan_amnt_0,loan_amnt_1,loan_amnt_2,loan_amnt_3,home_ownership_0,home_ownership_1,home_ownership_2,home_ownership_3,annual_inc_0,annual_inc_1,annual_inc_2,annual_inc_3,desc_0,desc_1,desc_2,desc_3,inq_last_6mths_0,inq_last_6mths_1,inq_last_6mths_2,revol_util_0,revol_util_1,revol_util_2,revol_util_3,last_fico_range_high_0,last_fico_range_high_1,last_fico_range_high_2,last_fico_range_high_3,last_fico_range_low_0,last_fico_range_low_1,last_fico_range_low_2,last_fico_range_low_3,pub_rec_bankruptcies_0,pub_rec_bankruptcies_1,pub_rec_bankruptcies_2,pub_rec_bankruptcies_3,Target
discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class
0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
