Feat0_1,Feat0_2,Feat0_3,Feat1_1,Feat1_2,Feat1_3,Feat2_2,Feat3_1,Feat3_2,Feat3_3,Feat4_1,Feat4_2,Feat4_3,Feat4_4,Feat5_2,target
discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete
,,,,,,,,,,,,,,,class
1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1
1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1
1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1
1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1
1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1
0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1
0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0
0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1
0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0
0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0
0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1
0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1
0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1
0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1
0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0
0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0
0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0
0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0
0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1
0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1
0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1
0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1
0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1
0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0
0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1
0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1
0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1
0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1
0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0
0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1
0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0
0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0
0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1
0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
